"title","director","cast","country","date_added","release_year","rating","duration","listed_in","description"
"An Artist of the Floating World","Kazuki Watanabe","Natsuko Akiyama, Shunsuke Daitô, Masato Hagiwara","","",2019,"13+","90 min","Drama","Japan, a few years after the end of the Second World War – Masuji Ono is an ageing painter of considerable renown, and retired life in his lavish mansion unfolds peacefully – on the surface. But this seeming tranquility is broken when he is told that his youngest daughter's marriage talks broke down because of his past."
"Hindu Raga Music for Yoga","Yocalm Studios","","","",2014,"ALL","37 min","Special Interest","Relaxing and soothing nature videos accompany the gentle sounds of the sitar, veena and tabla. This compilation is a blend of Hindustani- and Carnatic-influenced music, recorded live with thanks to a local Raga group from the Punjab region of India. Presented in conjunction with Yocalm Studios UK and Sharecare Windows"
"The Goldfish in N City","Stepan Puchinyan","Dmitriy Kharatyan, Ekaterina Guseva, Aleksey Shevschenkov","","",2011,"13+","88 min","Comedy, Kids, Science Fiction","A little boy catches a goldfish and releases it without any redemption. Wishing be grateful, the goldfish grants him an expensive bicycle that he always wanted to have. But a small city, where the boy lives, can't keep any secret. Soon everyone wants to fulfil a wish by the boy and the goldfish. They just don't believe that he released her."
"The Wrong One","Yaa Boaa  Aning","Wei-Yi  Lin, Duke Williams","","",2019,"16+","25 min","Horror","Lisa a troubled college student, who has been tasked with producing a document- for her journalism final on a tragic local murder that took place years ago. She partners with the magnetic Tim , to uncover the mysterious death of young Ronet While unraveling the sordid details of Ronet's un- timely death, Lisa is confronted with her ever deepening guilt over the death of her own twin sister."
"Moral Stories For Kids","","","","",2021,"ALL","49 min","Animation, Anime","It's story time! Very Short Stories with Morals in English are the best ways to teach moral education for kids and adults. You can teach short stories with moral values in a very short time. Short stories in English with moral values can give you great inspiration. We have a collection of good moral stories that can also be helpful for students."
"Azeem Banatwalla: Cometh The Hour","Aakash Motiani","Azeem Banatwalla","","",2016,"18+","60 min","Arts, Entertainment, and Culture, Comedy","Azeem Banatwalla is back with jokes and observations about the perils of married life, road rage, millennials, and confused African kids."
"Cartoon Classics - Vol. 1: 25 Favorite Cartoons - 3 Hours","Max Fleischer, Tex Avery","Bugs Bunny, Daffy Duck, Porky Pig, Little Lulu, Popeye the Sailor Man, Betty Boop, Woody Woodpecker, Casper the Friendly Ghost, Mighty Mouse, Superman, Heckle and Jeckle, Bosko","","",2017,"13+","175 min","Animation, Special Interest","Enjoy 3 hours of Classic Cartoons from the Golden Age of Animation. Cartoon characters include Bugs Bunny, Porky Pig, Daffy Duck, Elmer Fudd, Betty Boop (as Cinderella), Popeye, Little Lulu, Woody Woodpecker, Mighty Mouse, Casper, Heckle & Jeckle, Bosko and Superman. Featuring vintage Looney Tunes, Merry Melodies, Happy Harmonies, Max Fleischer cartoons with remastered sound."
"Baby Shark and Many More Nursery Rhymes - Little Baby Bum","Cannis Holder","","","",2019,"ALL","31 min","Kids","Enjoy a collection of songs about revolving around the famous 'Baby Shark' doo doo doo doo tunes. Meet Little Baby Bum's fun, educational nursery rhymes that captured the hearts of millions of children around the world."
"Meri Pyaari Bindu","Akshay Roy","Ayushmann Khurrana, Parineeti Chopra, Malvika Sitlani, Chandrachoor Rai, Aparajita Adhya, Abish Mathew","India","",2017,"13+","117 min","Comedy, Drama, International","A successful writer, Abhimanyu Roy (Ayushmann Khurrana) returns to his roots to write an old-fashioned love story, 3 years in the making. This writer's block is called Bindu (Parineeti Chopra). How do you contain this live wire in the pages of a book? When Abhi stumbles across an old audio cassette of their favourite playlist, it sends him down memory lane and his novel starts writing itself."
"Jungle Waterfalls for Kids","Mark Knight","","","",2016,"ALL","60 min","Documentary, Special Interest","Relax with this series of jungle waterfalls recorded on location in South America with the natural occurring sounds in HD. Entertaining and enjoyable for the entire family."
"Mubutu's African Movie Theater: Episode 6","Prince Mabutu Nayabingi","","","",2021,"18+","70 min","Action","Delve into the lives, loves and losses in this binge worthy African Theater Drama written by none other than Mobutu. This series of African Films based on real life citizens of the continent will leave you on wit's end begging for more. Family, marriage and adultery, this dramatic episode of Mobutu's African theater has it all!"
"Arpo the Robot for All Kids - Kung Fu Time & More Cartoons for Kids","","","","",2020,"ALL","21 min","Animation, Kids","Arpo was designed as a commando robot, built as a fierce fighting machine. But, with world peace achieved Arpo has been re-equipped for caregiving, re-coded for cuddling, and officially reassigned as a nanny robot! Arpo helps children age 4-8 build an understanding of non-verbal communication like body language and facial expressions. Enjoy Arpo's hilarious, slapstick funny cartoons for kids!"
"The Angel Of Auschwitz","Terry Coker","Noeleen Comiskey, Michael Mckell, Steven Bush","","",2021,"16+","102 min","Drama","Based on True Events. A midwife is sent to Auschwitz and is recruited to help in the camp hospital. Discovering that a doctor is experimenting on children and pregnant women, she vows to save as many potential victims as possible."
"Furious Road","Jeff Leroy","Ryan Izay, Jasmine St. Clair, Isis Velazquez, Dana Brighton, Rocky Flor, Sudesh Managodage","","",2014,"18+","80 min","Action","An all-girl gang battle in the streets with a drug cartel in an attempt to secure territory north of Mexico while trying to avoid capture by police, and the vengeful wrath of a local vigilante."
"Dirty God","Sacha Polak","Vicky Knight, Katherine Kelly, Eliza Brady-Girard, Rebecca Stone","","",2020,"13+","104 min","Drama","Jade is a young single mother severely burned by an acid attack. After facial surgery, her beauty is lost beneath the scars. Descending a self-destructive path with relationships crumbling, Jade must take drastic action to reclaim her life."
"A Turma do sextou - A TV ideal","Jean chambre, Lygia beatriz","Jean chambre, Lygia beatriz","","",2020,"13+","6 min","Animation, Comedy","They are back! Lygia beatriz & Jean chambre bring back the two friends involved in fun and unexpected situations, this time our favorite duo needs to buy a TV over the internet! it's fun for the whole family"
"Flashes - The Director's Cut","Amir Valinia","Christopher Judge, Tom Sizemore, Elle LaMont, Donny Boaz","","",2020,"18+","98 min","Science Fiction","John Rotit is quite happy, with his loving wife. In a ""flash"", he's a rock star shooting up heroin. And after that...he's something far more sinister. John unwillingly moves between parallel universes. He has no clue how or why this phenomenon is occurring. John's judgment becomes even more clouded as his mind unravels, and he'll do anything to remain in the one life where he's truly happy."
"Mobutu's African Movie Theater: Episode 5","Prince Mabutu Nayabing","","","",2021,"18+","85 min","Action","Life in the village."
"Phantom of the Grindhouse","Chris Seaver","Desiree Saetia, Jason Mccall, Kate Lewis","","",2021,"18+","61 min","Horror, Suspense","Friends plan a 24-hour horror-movie-marathon as a last-ditch effort to save a theater. Unbeknownst to them, a derelict who has been hiding out at the theater for years will stop at nothing to keep the meddling kids from ruining his sanctuary. But when The Phantom gets a load of their leader Christine, things turn from bad to worse as he falls head over heels for the girl of his dark dreams"
"Bazodee","Todd Kessler","Machel Montano, Natalie Perera, Staz Nair, Kabir Bedi, Remy RemBunction","","",2016,"13+","102 min","Arts, Entertainment, and Culture, Drama","The dutiful Indian daughter of a deep in debt businessman is about to marry a wealthy Londoner when a chance encounter with a local Trinidadian singer sets things askew. In search of a muse, the singer agrees to perform at her engagement party. Unable to deny their mutual attraction, Anita must now choose between the answer to her family's financial prayers and the possibility of real love."
"Savitri","Pavan Sadineni","Nara Rohit, Nanditha","","",2016,"13+","124 min","Romance","Savitri is a girl who is fascinated with wedding ceremonies. When she gets engaged, she travels to Shirdi and in the train she meets a doctor Rishi, who falls in love with her. Meanwhile, .."
"The Prey","Jimmy Henderson","Gu Shangwei, Vithaya Pansringarm, Byron Bishop, Sahajak Boonthanakit","","",2020,"16+","93 min","Action, Suspense","Xin is on an undercover mission, when a surprise raid puts him in a remote jungle prison that plays by its own rules. A ruthless warden is selling prisoners as human prey for rich hunters looking for thrills in the jungle, a most dangerous game."
"Shark Huntress","John Riggins","Dean Alexandrou, Russell Geoffrey Banks, Katrina Grey, John Buster Flano, Eve Cerda, Gorden Lewis Rimmer, Zarish Ali, Ting Sue, Bonnie Zellerbach, Randy Kalsi","","",2021,"16+","83 min","Action, Horror, Suspense","A woman takes up her environmentalist mother's David-and-Goliath battle after a lethal shark attack. As she ventures into remote areas-trailed by a blood-thirsty Great White-stakes rise, the death toll mounts ... and she's out for revenge!"
"Pass the Light","Malcolm J. Goodwin","Cameron Palatas, Alexandria Deberry, Jon Gries, Milena Govich, Dalpre Grayer, Colby French, Lawrence Saint-Victor","","",2020,"16+","112 min","Drama","Pass The Light follows a 17 year old H.S student name Steve Bellafiore (Cameron Palatas) who runs for Congress because he is disturbed by the message of hatred and intolerance espoused by the popular candidate Franklin Baumann (Jon Gries)."
"Soul Pursuit","Larry Humphrey","Larry Humphrey, Eric Roberts, Noel G, Tricia Pyle, Eliza Roberts, Melody Parra","","",2021,"13+","83 min","Action, Drama, Special Interest","After tragic events, a man and his dog seek solitude in the Oregon Columbia Gorge by hiking to the nations second highest waterfall."
"Girlfriends of Christmas Past","Jake Helgren","Tammin Sursok, Brent Bailey, Lindsey McKeon","","",2016,"13+","92 min","Comedy","When three hilarious, strong-willed women join forces to seek the ultimate revenge on their cheating ex at his upcoming holiday retreat, lovestruck event planner Livvy meets Carter, the charming colleague organizing it all, leaving Livvy to question if she can leave off their revenge scheme long enough to finally forgive her ex and let a real holiday romance blossom."
"The Ice Forest","Claudio Noce","Emir Kusturica, Kseniya Rappoport, Domenico Diele, Adriano Giannini","","",2014,"13+","107 min","Action, Drama, Suspense","As a snowstorm is about to rage, a young technician arrives in a high-altitude town to repair its electric power plant. He quickly discovers that it is used for sinister purposes."
"Welcome To Happiness","Oliver Thompson","Kyle Gallner, Olivia Thirlby, Nick Offerman","","",2016,"13+","96 min","Comedy, Drama, Science Fiction","There's a magical door in Woody's closet that allows those who go through it to erase mistakes from their past. When he finds out where it goes, his life will be changed forever."
"Awakened","Greg Miller","Ellson Bennett","","",2018,"7+","90 min","Documentary, Faith and Spirituality, Special Interest","40 years ago Billy Graham made an iconic statement regarding the awakening and spiritual destiny of the original Americans. AWAKENED tells the story of how the native people of North America are now rising up and stepping into that spiritual destiny, one that holds the keys to revival and America's future in its hands! Featuring Ellson Bennett, Lou Engle and the voice of Billy Graham."
"Gopichand Chanakya","Thiru","Gopichand, Mehreen Pirzada, Nassar, Rajesh Khattar, Upen Patel","","",2019,"13+","145 min","Action, International","The movie is about Arjun (Undercover Raw Agent) and his team. In the process, Arjun is confronted with many profound difficulties by the enemy Sohail. At one point, Arjun has to choose between saving his team and saving the country. Will he be able to make the right decision?"
"Toys Storage 2","Christine Arnold, Conor Reed, Brian Watson, Christian Washington, Mike Shiell, Kris Yim, Michaela Wadzinski, Natasha Cánepa Borrero, Emily Kimes, Nick Chuang, RJ JJ Jegatheva, Christopher Satola, Eunkyun ko, Anthony Leigh, Diana Reichenbach, Robin Tremblay, Marta Topolska","Marianna Novak, Dante White Aliano, Todd Waring, Madeline Dorroh","","",2021,"13+","99 min","Animation, Kids","Don't Lose Heart is the story about a young girl on the day of her heart transplant, but her transplant cooler gets lost in transit and must make it back to her before time runs out. Here is this story...and a few other stories too."
"15-Minute Yoga HIIT 1.0 (Workout)","","Maggie Binkley","","",2018,"ALL","19 min","Fitness","The benefits of yoga in just 15 minutes. This Yoga HIIT session will stretch your muscles head to toe & push your strength, endurance, balance and overall fitness. Alternating stretches with periods of work, you'll feel amazing after this workout. Find the Yoga Series 1.0 Weekly Workout Schedule (and more), as shown on my website (FitnessMaggie)."
"Ayogya","Venkat Mohan","Vishal, Raashi Khanna, Parthiban","India","",2019,"13+","148 min","Action, Drama, International","A corrupt police officer decides to alter his life choices and change his actions after her encounters the death of a young innocent child."
"Chasing Happiness","John Lloyd Taylor","Nick Jonas, Joe Jonas, Kevin Jonas","","",2019,"16+","97 min","Documentary","Chasing Happiness is a story of brotherhood. From humble roots as pastor’s sons in New Jersey, through their meteoric rise to fame, the Jonas Brothers’ bond was unshakeable – until a surprising and painful breakup led Joe, Kevin and Nick down very different paths. With deeply personal interviews, previously unreleased footage and exclusive music, this is the Jonas Brothers as never seen before."
"Escape from a Nazi Death Camp","Hereward Pelling","Eric Meyers","","",2014,"16+","55 min","Documentary","The secret Nazi death camp at Sobibor was created solely for the mass extermination of Jews. But on the 14th October 1943, in the biggest and most successful prison revolt of the Second World War, the inmates fought back. This is the story of their Great Escape."
"The Bridgewater Triangle","Aaron Cadieux, Manny Famolare","Loren Coleman, Jeff Belanger, Chris Balzano, John Brightman, Andrew Lake, Chris Pittman, Tim Weisberg","United States","",2013,"13+","91 min","Special Interest","""The Bridgewater Triangle"" hosts an unusually high volume of reports involving strange happenings, baffling mysteries and sinister deeds. From ghostly hauntings and cryptid animal sightings, to UFO encounters and evidence of satanic ritual sacrifice, this 200-square mile region in Southeastern Massachusetts serves as one of the world's most diverse and well-known hotspots for paranormal activity"
"Return To Blood Fart Lake","Chris Seaver","","","",2021,"18+","72 min","Horror","Many years have passed since the tragic events at Blood Fart Lake, where Jimmy dispatched a bunch of party going, cabin dwelling kids before he could be stopped by Ben Scrivens & his red neck pal, Leo Dechamp. Now Jimmy has returned, this time preying on a group of ""Spirit Hunters"" searching for the truth to his killings, & Ben must track down Leo before they're added to his list of victims!"
"Lea & Pop - Episodes & Kids Songs","Mora TV","Lea & Pop","","",2021,"ALL","49 min","Animation, Kids","Learn colors and have fun wish Lea and Pop. Every day is a good day to sing and play. All of these are great songs for Pre-K and Preschool kids. Songs about colors for toddlers is an excellent way to make them learn colors quickly & in a fun way. Children love learning the names of colors and being able to say what color objects are. Sing and learn your colors, it's a fun and easy way!"
"Chinese Speaking Vampires","Randy Kent","Davy Williams, Chris Cleveland, Crystal Huang, Jerimiyah Dunbar, June Lee, Raven Armando Astone","","",2021,"18+","81 min","Action, Horror","A desperate actor becomes a vampire and uses his new powers to land a movie role and the girl, but then must choose between life and the undead."
"Pacific Ocean Waves","Mark Knight","","","",2017,"ALL","541 min","Special Interest","For a full night's sleep. This ultra dark HD video of the moonlit winter Pacific Ocean accompanied by natural ocean sounds, reduces the blue-spectrum light waves-known to inhibit REM sleep. By following the five stages of sleep patterns, this calming video will help you relax into a deep sleep. Recorded at Kalaloch Beach, WA. All Sharecare Windows videos are included in your Prime membership."
"The Human Solution","Mirtha Vega","David Chafer, Shobi Rae Mclean, Arthur Velarde","","",2021,"13+","100 min","Drama","A harrowing family drama plays out, when August Persson, a doctor and participant in the eugenics program of 1930's Sweden, reunites with his estranged wife, who he discovers is pregnant. August's life is turned upside down when his wife dies in childbirth, leaving behind a mixed-race baby girl he decides to raise as his own. Recipient of the ReFrame stamp for gender-balanced production."
"Gecko's Garage Vol 2","","","","",2019,"ALL","41 min","Kids","Gecko's garage is here to present you some of his closest friends! Come and join him as they sing songs, drive around the town and more!"
"Lemon","Janicza Bravo","Brett Gelman, Judy Greer, Michael Cera, Nia Long, Shiri Appleby, Fred Melamed, Rhea Perlman, David Paymer, Gillian Jacobs, Martin Starr, Megan Mullally, Jeff Garlin, Marla Gibbs","","",2017,"16+","83 min","Comedy","Lemon: a person or thing that proves to be defective, imperfect, or unsatisfactory. Isaac Lachmann is a lemon. His career is going nowhere. His girlfriend of ten years is leaving him. Isaac Lachmann now just watches as his life unravels."
"Maria Bamford: Weakness is the Brand","Robert Cohen","Maria Bamford","","",2020,"18+","75 min","Arts, Entertainment, and Culture, Comedy, Special Interest","Maria Bamford is back and subjectively better than ever! Weakness is her brand, so get ready to feel much better about yourself. This Lady Dynamite explodes onstage (after 2 (two) naps with her husband Scott and 2 old, pillowy dogs). Let her be the poor example from which your greatness can be determined."
"Love is not what it used to be","Gabriel Ochoa","Aida Folch, Petra Martínez, Nicolás Coronado, Alberto San Juan, Blanca Romero, Jose Coronado","","",2014,"16+","89 min","Comedy","Love is Not What It Used to Be is the story of the physical law of divergent trajectories in several couples: Alex comes across Lucias life, two youngsters who start discovering each other. Paz y Jorge see how their relationship is fading and they don't know what to do. Albert and Irene meet after some decades of separation and it seemed were not going to join again."
"Image Test","Ross Berry","Berry Rossy","","",2021,"ALL","1 min","Action","Test title for title-image workflow testing."
"Anbirkiniyal","Gokul","Keerthi Pandian, Arun Pandian, Praveen Raja","India","",2021,"ALL","123 min","Drama, Suspense","True to her name the protagonist is a lovable girl. She doesn't return home from work one day and a search is triggered thereafter."
"Mummy Dearest","White Cross","Tara Reid, Michael Paré, Lou Ferrigno, Richard Tyson, Nikki Leigh, Quinton Aaron, Ken Davitian","","",2018,"16+","95 min","Horror, Suspense","After an injury puts Scarlett Healy in a wheelchair, she moves in with her daughter, Autumn, who just moved into a creepy old house with her boyfriend, Frank Thrussel."
"Desert Dancer","Richard Raymond","Nazanin Boniadi, Marama Corlett, Tom Cullen, Freida Pinto","","",2016,"13+","104 min","Arts, Entertainment, and Culture, Drama","This powerful true story follows an underground Iranian dance company in the volatile climate of the 2009 presidential election, as they risk their lives to learn from banned videos of timeless legends like Michael Jackson, Gene Kelly, and Rudolf Nureyev."
"A Rainy Day in New York","Woody Allen","Timothée Chalamet, Jude Law, Elle Fanning, Liev Schreiber, Selena Gomez, Suki Waterhouse, Diego Luna, Rebecca Hall, Kelly Rohrbach","","",2020,"13+","93 min","Comedy, Romance","Woody Allen returns to the romantic fields of previous hits Vicky Cristina Barcelona and Midnight in Paris, assembling an all-star cast including Timothée Chalamet, Elle Fanning, Selena Gomez, Jude Law, Diego Luna and Liev Schreiber, for a charming, comedic tale set amidst the dizzying streets of The Big Apple, as romantic weekend plans are soon dashed as quickly as the sunlight turns to showers."
"Big Red Button - Baby Monkey Songs","Damien Eckhardt-Jacobi, Vincent Bova","","","",2019,"ALL","30 min","Comedy, Kids","Big Red Button is a colorful puppet show for kids. With fun songs, and amazing characters you're bound to have a blast! This collection includes ""Wheels on the bus"", ""learn colors"" and much more!"
"Satyameva Jayate","Milap Zaveri","John Abraham, Manoj Bajpayee, Aisha Sharma, Amruta Khanvilkar, Manish Chaudhary","India","",2018,"18+","140 min","Action, Adventure, International","DCP Shivansh has been tasked to catch Vir, the man behind police killings in the city. Both are eventually against the same enemy but divided by a fine line, the law."
"Diamond in the Rough","Rob Walker","Clifton Powel, Jordan Werner, Aaliya Shumpert","","",2019,"16+","96 min","Drama, Special Interest","A faith-based film about a family that struggles with the issues of homelessness, PTSD, and substance abuse and how they overcome it together."
"All About Sex","Dakota Gorman","Dillon Lane, Natalee Linez, Emma Deckers, Matt Angel, Dakota Gorman, Chris Costanzo, Parvesh Cheena, Cate Cohen, Sterling Sulieman, James Hyde, Anisha Adusumilli, Joey Vahedi, Dusty Warren, Teagan Sirset, Sean Riggs, Michaela Sasner, Madeleine Gardella, Ryan W. Garcia, Oscar Fleming, Graham Outerbridge","","",2021,"18+","104 min","Comedy, Drama","All About Sex follows the lives of three mid-20's friends, Casey, Morgan and Sage, each caught in the grip of a quarter-life crisis as they meander through the messy, embarrassing and confusing pitfalls that come with ""adulting""."
"Wrong Place, Wrong Time","Justin Price","Franziska Schissler, Justin Price, Bianca Stein, Alex Ryan Brown","","",2021,"16+","85 min","Action, Horror, Suspense","An elite team of vigilantes plot to steal 14 billion dollars of laundered money from a notorious mob boss. After being double-crossed, they find refuge in the middle of nowhere with a mysterious family carrying an unsettling secret."
"THE PARTY","Harold Trompetero","Ana María Arango, Francisco Bolívar, Carlos Hurtado","","",2019,"13+","91 min","Comedy","Doña Matilde gets up on her 70th birthday with the desire to have a great celebration. Her 4 children with their respective families gather to celebrate, as soon as they arrive the dance begins until Doña Matilde fades and apparently dies, the party then becomes a battle to see who gets the best part of the inheritance."
"PISHACHINI","Ankit Bagde","Prayag Sahu, Aditya Tiwari, Sanghmitra Bouddh, Jahnavi Chaturvedi, Bhoomika Sahu, Amit Ghosh, Ankit Bagde, Arav Ghosh","","",2021,"16+","80 min","Horror","If You're Trapped in Devil's World Then Betrayal is The Only Thing Which Can Take You Out."
"Miss Meadows","Karen Leigh Hopkins","Katie Holmes, James Badge Dale, Callan Mulvey, Jean Smart","","",2015,"16+","88 min","Drama, Suspense","Miss Meadows is a school teacher with impeccable manners and grace. However, underneath the candy-sweet exterior hides a ruthless gun-toting vigilante who takes it upon herself to right the wrongs in the world by whatever means necessary. For Miss Meadows, bad behavior is simply unforgiveable."
"Vakeel Saab (Malayalam)","Venu Sriram","Pawan Kalyan, Nivetha Thomas, Anjali, Ananya, Prakash raj, Shruti Haasan, Vamsi Krishna","","",2021,"13+","153 min","Action, Drama","Three girls find themselves accused of attempt to murder after escaping molestation. Their only hope is an alcoholic lawyer who agrees to take up the case."
"Nursery Rhymes Volume 6 by Little Baby Bum","Cannis Holder","Grace Tamayo, Erin Webbs","","",2016,"ALL","49 min","Kids","Starting with Wheels On The Bus Part 11, this video is a compilation of popular nursery rhymes like Three Blind Mice and Down By The Bay, and many other original kids songs from LittleBabyBum"
"Sleepwalker","Elliott Lester","Ahna O'Reilly, Richard Armitage, Haley Joel Osment, Izabella Scorupco, Kevin Zegers","United States","",2017,"18+","88 min","Drama, Suspense","Troubled by bouts of sleepwalking and nightmares, graduate student Sarah Foster goes to her university's sleep research center for help. When she wakes up after her first night of being monitored, the world she lives in seems to have changed in subtle, Twilight-Zone-esque ways. With the help of sleep researcher Scott White, she tries to work her way back to the reality she started in."
"Darra","Parveen Kumar","Gurpreet Ghuggi, Happy Raikoti, Kartar Cheema, Shivendra Mahal, Sardar Sohi, Karamjit Anmol, Rana Ranbir, Pammi Bai, Nirmal Rishi ji","","",2016,"13+","121 min","Drama","After returning from school and marrying, a popular farmer becomes a target of jealousy."
"The Human Comedy","Mohammad Hadi Karimi","Arman Darvish, Hooman Seyedi, Leila Zareh, Hasti Mahdavifard, Niki Karimi, Bahareh Kianafshar, Alireza Shojanoori","","",2017,"13+","90 min","Comedy, Drama","A comedy of the tragic life of someone who must live like the people around him despite his own preference. The Human Comedy is a comedy narrative of the tragic life of a person who finds himself doing as the Romans do unwillingly."
"SI 3","Hari","Suriya, Anushka Shetty, Shruthi Hasan, Soori, Anoop Singh Thakur, Neetu Chandra, Janaki Ganesh, Olamilekan Akanbi Jason, Krish","India","",2017,"ALL","152 min","Action, International","A reputed cop from Tamil Nadu takes charge in Andhra Pradesh to solve the mysterious murder of a top police officer, and takes on local thugs and criminals during the course of his mission."
"Song for Our People","Mustapha Khan","Omar Edwards, Jessie Wagner, Kenny Vaughan, Normie B, Mustapha Khan, Don Braden, Clark Gayton, Jeremy Pelt, Charlie Ernst, Ralph Rolle","","",2021,"13+","61 min","Documentary","Go behind the scenes of an unforgettable recording session where an extraordinary group of artist activists come together to create a powerful new anthem to honor Black lives and inspire the fight for racial justice in America."
"Conference Call","John Karas","John Karas","","",2014,"7+","4 min","Comedy","An IT ant-worker in a small solitary office is forced to attend a boring conference call and finds abnormal ways of amusing himself while tuning out the phone call."
"Sangili Bungili Kadhava Thorae","Ike","Jiiva, Sri Divya, Radha Ravi, Soori, Raadhika, Thambi Ramaiah","","",2017,"13+","134 min","Horror","Vasu and his mother move into a bungalow they have recently purchased on the outskirts of town. However, they get to know too late that it is home to supernatural forces."
"Who Wrote the New Testament?","Caryl Ebenezer, J. Mervyn Williams","","","",2016,"ALL","131 min","Drama, Special Interest","How did a collection of 27 compositions, letters, and narratives come to change the course of history? This feature-length film explores often controversial questions and debates at the heart of modern biblical studies. Who were the people that drove the spread of this seminal Christian text and how do modern scholars interpret the texts and other artifacts at the heart of this mysterious history."
"Binhi","Pedring Lopez","Roxanne Barcelo, Cholo Barretto, Joem Bascon, Mercedes Cabral","","",2015,"16+","90 min","Horror","Daniel and Cynthia, a young couple with a child on the way, experience some hard times in Manila. They head back to Baguio, where Daniel is originally from, to start over again. Through the kindness of Alex, Daniel's well-to-do childhood friend, they get to stay in a large house, rent-free; and he gets a job offer as well. The worst seems to be over for them. Or so they think."
"Hot Mess","Lucy Coleman","Sarah Gaul, Kenny Murphy, Julia Robertson, Marshall Campbell, Ryder Stevens, Jordan Coleman, Hannah Lehmann, Luke Martin, Timothy Doran, Melanie Sparke, Jack Baldwin, Tim Spencer, Sharni McDermott, Holly Roper, Zoe Carides, Terry Serio, Stuart Bryan, Jessica Tuckwell, Edan Lacey, Walter Davis Hart","","",2021,"18+","80 min","Comedy","Stuck in the angst of wondering who she is and what she's meant to be doing with her life, Loz, a 25-year-old aspiring playwright, finally thinks she's found the answer to all her issues. Its name is Dave."
"Thugs Of Hindostan (Hindi)","Vijay Krishna Acharya","Amitabh Bachchan, Aamir Khan, Katrina Kaif, Fatima Sana Shaikh, Md. Zeeshan Ayyub, Ronit Roy, Lloyd Owen, Sharat Saxena, Ila Arun, Gavin Marshall","","",2018,"16+","164 min","Action, Drama, International","A story about one man’s love for his nation and another’s love for power. An epic adventure filled with edge-of-the-seat thrills and war on the seas."
"Cleaning Lady","Jon Knautz","Alexis Kendra, Stelio Savante","","",2019,"16+","90 min","Horror, Suspense","On the surface Alice seems like a woman who has it all: a gorgeous apartment, a booming career, a stunning physique, and a handsome boyfriend. The only problem is he's married to someone else. Looking for a way to simplify her life, Alice hires Shelly to clean her house. As Alice begins to confide in Shelly about her illicit affair, their friendship grow and so does Shelly's twisted obsession."
"The Odds","Bob Giordano","Abbi Butler, James J. Fuertes, Katie Gunn, Les Parker, Sean Ramey","","",2018,"18+","107 min","Horror, Suspense","A young woman joins an underground game of pain endurance, hoping to win the prize; US$1 million. She soon discovers the game's rigged, and the real opponent is the man- a sadistic psychopath, who's created the game. As things progress, she's forced to endure ever-increasing torturous pain, as her opponent engages ever-more horrific methods to manipulate and defeat her."
"Sharknado 4: The 4th Awakens","Anthony C. Ferrante","Ian Ziering, Tara Reid, David Hasselhoff, Gary Busey, Tommy Davidson, Cody Linley, Imani Hakim","United States","",2016,"13+","85 min","Action, Horror, Science Fiction","Five years after the wave of sharknados that wracked the east coast, our heroes are living a quiet life in the middle of the country – as far away from sharks as possible. But when a freak sand sharknado hits Vegas, Fin is thrown back into action, fighting sharknados on a cross-country race to save his family and the world – as all mankind should know by now, there is no escaping..."
"Dennis Gaxiola: Before the Wall Goes Up","Isaac Halasima","Dennis Gaxiola","","",2017,"7+","47 min","Arts, Entertainment, and Culture, Comedy, Special Interest","Dennis Gaxiola is one of America's funniest clean comedians. The preacher's son gained notoriety from his appearances with Jamie Foxx on Comedy Central, The Latin Kings of Comedy Tour with Paul Rodriguez, BET's Comic View, Que Locos and the 2010 season Martin Lawrence's First Amendment Stand Up."
"Sarbjit","Omung Kumar","Randeep Hooda, Aishwarya Rai Bachchan, Richa Chadha, Darshan Kumar, Shiwani Saini, Ankita Shrivastav, Ankur Bhatia, Arbaaz Ali Khan, Ram Murti Sharma, Charanpreet Singh, Trishaan Singh","India","",2016,"13+","126 min","Drama, International","Biopic of Sarabjit Singh, a farmer residing at Bhikiwind, Punjab, near the Indo-Pak border, crossed the border after having a couple of drinks. However, he was mistaken to be an Indian spy and was sentenced to capital punishment."
"Twinkle Twinkle Little Star","Ed Hartwell","","","",2021,"ALL","3 min","Animation, Kids, Music Videos and Concerts","All five verses of the classic song featuring lots of different animals who are mainly nocturnal and therefore would be up at night to watch the stars in the night sky. Music Recorded and performed by Steve Pretty, Sung by Gemma Storr."
"Death by a Thousand Cuts","Jake Kheel, Juan Mejia Botero","Yolanda Léon, Jean Wiener","","",2019,"16+","74 min","Documentary","In Death by a Thousand Cuts, the murder investigation of a Dominican park ranger by a Haitian charcoal producer reveals the complex, growing conflict between the Dominican Republic and Haiti in the battle for natural resources."
"Himalayan Singing Bowls 9 hours","Mark Knight","Niv Dayan, Sarah Lærke","","",2017,"ALL","550 min","Special Interest","This ambient sleep and meditation video is a full nine hours with an ultra dark screen for deep sleep, lucid dreaming and meditation. Relax to the notes of the Himalayan Singing Bowls accompanied by the background sounds of rain softly falling on leaves. Each musical note and tone relating to the 7 chakras is played from Root (Keynote C - 256 Hz) to Crown (Keynote B - 480 Hz)."
"Learning & Early Education For Kids","","","","",2021,"ALL","29 min","Kids","Learn the basics in early learning in a fun and enjoyable way."
